Epoch 153: Loss: 0.97052, Validation Loss: 2.64440
Epoch 154: Loss: 0.97107, Validation Loss: 2.64568
Epoch 155: Loss: 0.97160, Validation Loss: 2.64694
Epoch 156: Loss: 0.97212, Validation Loss: 2.64817
Epoch 157: Loss: 0.97263, Validation Loss: 2.64937
Epoch 158: Loss: 0.97313, Validation Loss: 2.65054
Epoch 159: Loss: 0.97362, Validation Loss: 2.65169
Epoch 160: Loss: 0.97410, Validation Loss: 2.65282
Epoch 161: Loss: 0.97456, Validation Loss: 2.65391
Epoch 162: Loss: 0.97502, Validation Loss: 2.65499
Epoch 163: Loss: 0.97546, Validation Loss: 2.65604
Epoch 164: Loss: 0.97590, Validation Loss: 2.65707
Epoch 165: Loss: 0.97632, Validation Loss: 2.65807
Epoch 166: Loss: 0.97674, Validation Loss: 2.65906
Epoch 167: Loss: 0.97715, Validation Loss: 2.66002
Epoch 168: Loss: 0.97755, Validation Loss: 2.66097
Epoch 169: Loss: 0.97794, Validation Loss: 2.66189
Epoch 170: Loss: 0.97832, Validation Loss: 2.66279
Epoch 171: Loss: 0.97870, Validation Loss: 2.66368
Epoch 172: Loss: 0.97906, Validation Loss: 2.66454
Epoch 173: Loss: 0.97942, Validation Loss: 2.66539
Epoch 174: Loss: 0.97977, Validation Loss: 2.66622
Epoch 175: Loss: 0.98012, Validation Loss: 2.66703
Epoch 176: Loss: 0.98045, Validation Loss: 2.66783
Epoch 177: Loss: 0.98078, Validation Loss: 2.66861
Epoch 178: Loss: 0.98111, Validation Loss: 2.66937
Epoch 179: Loss: 0.98142, Validation Loss: 2.67012
Epoch 180: Loss: 0.98173, Validation Loss: 2.67085
Epoch 181: Loss: 0.98204, Validation Loss: 2.67157
Epoch 182: Loss: 0.98233, Validation Loss: 2.67227
Epoch 183: Loss: 0.98262, Validation Loss: 2.67296
Epoch 184: Loss: 0.98291, Validation Loss: 2.67363
Epoch 185: Loss: 0.98319, Validation Loss: 2.67430
Epoch 186: Loss: 0.98346, Validation Loss: 2.67494
Epoch 187: Loss: 0.98373, Validation Loss: 2.67558
Epoch 188: Loss: 0.98400, Validation Loss: 2.67620
Epoch 189: Loss: 0.98425, Validation Loss: 2.67681
Epoch 190: Loss: 0.98451, Validation Loss: 2.67741
Epoch 191: Loss: 0.98475, Validation Loss: 2.67800
Epoch 192: Loss: 0.98500, Validation Loss: 2.67858
Epoch 193: Loss: 0.98524, Validation Loss: 2.67914
Epoch 194: Loss: 0.98547, Validation Loss: 2.67969
Epoch 195: Loss: 0.98570, Validation Loss: 2.68024
Epoch 196: Loss: 0.98592, Validation Loss: 2.68077
Epoch 197: Loss: 0.98614, Validation Loss: 2.68129
Epoch 198: Loss: 0.98636, Validation Loss: 2.68181
Epoch 199: Loss: 0.98657, Validation Loss: 2.68231
Epoch 200: Loss: 0.98678, Validation Loss: 2.68280
Epoch 201: Loss: 0.98699, Validation Loss: 2.68329
Epoch 202: Loss: 0.98719, Validation Loss: 2.68376
Epoch 203: Loss: 0.98738, Validation Loss: 2.68423
Epoch 204: Loss: 0.98758, Validation Loss: 2.68468
Epoch 205: Loss: 0.98777, Validation Loss: 2.68513
Epoch 206: Loss: 0.98795, Validation Loss: 2.68557
Epoch 207: Loss: 0.98813, Validation Loss: 2.68601
Epoch 208: Loss: 0.98831, Validation Loss: 2.68643
Epoch 209: Loss: 0.98849, Validation Loss: 2.68685
Epoch 210: Loss: 0.98866, Validation Loss: 2.68726
Epoch 211: Loss: 0.98883, Validation Loss: 2.68766
Epoch 212: Loss: 0.98900, Validation Loss: 2.68805
Epoch 213: Loss: 0.98916, Validation Loss: 2.68844
Epoch 214: Loss: 0.98932, Validation Loss: 2.68882
Epoch 215: Loss: 0.98948, Validation Loss: 2.68919
Epoch 216: Loss: 0.98963, Validation Loss: 2.68956
Epoch 217: Loss: 0.98978, Validation Loss: 2.68992
Epoch 218: Loss: 0.98993, Validation Loss: 2.69027
Epoch 219: Loss: 0.99008, Validation Loss: 2.69062
Epoch 220: Loss: 0.99022, Validation Loss: 2.69096
Epoch 221: Loss: 0.99036, Validation Loss: 2.69130
Epoch 222: Loss: 0.99050, Validation Loss: 2.69163
Epoch 223: Loss: 0.99064, Validation Loss: 2.69195
Epoch 224: Loss: 0.99077, Validation Loss: 2.69227
Epoch 225: Loss: 0.99090, Validation Loss: 2.69258
Epoch 226: Loss: 0.99103, Validation Loss: 2.69289
Epoch 227: Loss: 0.99116, Validation Loss: 2.69319
Epoch 228: Loss: 0.99129, Validation Loss: 2.69349
Epoch 229: Loss: 0.99141, Validation Loss: 2.69378
Epoch 230: Loss: 0.99153, Validation Loss: 2.69406
Epoch 231: Loss: 0.99165, Validation Loss: 2.69435
Epoch 232: Loss: 0.99176, Validation Loss: 2.69462
Epoch 233: Loss: 0.99188, Validation Loss: 2.69489
Epoch 234: Loss: 0.99199, Validation Loss: 2.69516
Epoch 235: Loss: 0.99210, Validation Loss: 2.69543
Epoch 236: Loss: 0.99221, Validation Loss: 2.69568
Epoch 237: Loss: 0.99232, Validation Loss: 2.69594
Epoch 238: Loss: 0.99242, Validation Loss: 2.69619
Epoch 239: Loss: 0.99253, Validation Loss: 2.69643
Epoch 240: Loss: 0.99263, Validation Loss: 2.69668
Epoch 241: Loss: 0.99273, Validation Loss: 2.69691
Epoch 242: Loss: 0.99283, Validation Loss: 2.69715
Epoch 243: Loss: 0.99292, Validation Loss: 2.69738
Epoch 244: Loss: 0.99302, Validation Loss: 2.69760
Epoch 245: Loss: 0.99311, Validation Loss: 2.69783
Epoch 246: Loss: 0.99321, Validation Loss: 2.69805
Epoch 247: Loss: 0.99330, Validation Loss: 2.69826
Epoch 248: Loss: 0.99339, Validation Loss: 2.69847
Epoch 249: Loss: 0.99347, Validation Loss: 2.69868
Epoch 250: Loss: 0.99356, Validation Loss: 2.69889
Epoch 251: Loss: 0.99364, Validation Loss: 2.69909
Epoch 252: Loss: 0.99373, Validation Loss: 2.69929
Epoch 253: Loss: 0.99381, Validation Loss: 2.69948
Epoch 254: Loss: 0.99389, Validation Loss: 2.69967
Epoch 255: Loss: 0.99397, Validation Loss: 2.69986
Epoch 256: Loss: 0.99405, Validation Loss: 2.70005
Epoch 257: Loss: 0.99413, Validation Loss: 2.70023
Epoch 258: Loss: 0.99420, Validation Loss: 2.70041
Epoch 259: Loss: 0.99428, Validation Loss: 2.70059
Epoch 260: Loss: 0.99435, Validation Loss: 2.70077
Epoch 261: Loss: 0.99442, Validation Loss: 2.70094
Epoch 262: Loss: 0.99449, Validation Loss: 2.70111
Epoch 263: Loss: 0.99456, Validation Loss: 2.70128
Epoch 264: Loss: 0.99463, Validation Loss: 2.70144
