Epoch 311: Loss: 4.16545, Validation Loss: 202228.92031
Epoch 312: Loss: 4.15391, Validation Loss: 202439.97652
Epoch 313: Loss: 4.14253, Validation Loss: 202649.53384
Epoch 314: Loss: 4.13132, Validation Loss: 202857.60538
Epoch 315: Loss: 4.12028, Validation Loss: 203064.20416
Epoch 316: Loss: 4.10939, Validation Loss: 203269.34305
Epoch 317: Loss: 4.09867, Validation Loss: 203473.03478
Epoch 318: Loss: 4.08810, Validation Loss: 203675.29198
Epoch 319: Loss: 4.07769, Validation Loss: 203876.12713
Epoch 320: Loss: 4.06743, Validation Loss: 204075.55260
Epoch 321: Loss: 4.05732, Validation Loss: 204273.58063
Epoch 322: Loss: 4.04735, Validation Loss: 204470.22334
Epoch 323: Loss: 4.03753, Validation Loss: 204665.49272
Epoch 324: Loss: 4.02786, Validation Loss: 204859.40066
Epoch 325: Loss: 4.01832, Validation Loss: 205051.95892
Epoch 326: Loss: 4.00892, Validation Loss: 205243.17914
Epoch 327: Loss: 3.99966, Validation Loss: 205433.07285
Epoch 328: Loss: 3.99053, Validation Loss: 205621.65146
Epoch 329: Loss: 3.98153, Validation Loss: 205808.92628
Epoch 330: Loss: 3.97267, Validation Loss: 205994.90849
Epoch 331: Loss: 3.96393, Validation Loss: 206179.60917
Epoch 332: Loss: 3.95532, Validation Loss: 206363.03929
Epoch 333: Loss: 3.94683, Validation Loss: 206545.20971
Epoch 334: Loss: 3.93846, Validation Loss: 206726.13118
Epoch 335: Loss: 3.93021, Validation Loss: 206905.81435
Epoch 336: Loss: 3.92208, Validation Loss: 207084.26975
Epoch 337: Loss: 3.91407, Validation Loss: 207261.50784
Epoch 338: Loss: 3.90618, Validation Loss: 207437.53893
Epoch 339: Loss: 3.89839, Validation Loss: 207612.37326
Epoch 340: Loss: 3.89072, Validation Loss: 207786.02097
Epoch 341: Loss: 3.88316, Validation Loss: 207958.49209
Epoch 342: Loss: 3.87570, Validation Loss: 208129.79655
Epoch 343: Loss: 3.86835, Validation Loss: 208299.94419
Epoch 344: Loss: 3.86111, Validation Loss: 208468.94474
Epoch 345: Loss: 3.85397, Validation Loss: 208636.80786
Epoch 346: Loss: 3.84693, Validation Loss: 208803.54309
Epoch 347: Loss: 3.83999, Validation Loss: 208969.15990
Epoch 348: Loss: 3.83315, Validation Loss: 209133.66763
Epoch 349: Loss: 3.82641, Validation Loss: 209297.07558
Epoch 350: Loss: 3.81976, Validation Loss: 209459.39292
Epoch 351: Loss: 3.81321, Validation Loss: 209620.62874
Epoch 352: Loss: 3.80675, Validation Loss: 209780.79205
Epoch 353: Loss: 3.80038, Validation Loss: 209939.89177
Epoch 354: Loss: 3.79411, Validation Loss: 210097.93673
Epoch 355: Loss: 3.78792, Validation Loss: 210254.93568
Epoch 356: Loss: 3.78181, Validation Loss: 210410.89727
Epoch 357: Loss: 3.77580, Validation Loss: 210565.83008
Epoch 358: Loss: 3.76987, Validation Loss: 210719.74260
Epoch 359: Loss: 3.76402, Validation Loss: 210872.64326
Epoch 360: Loss: 3.75826, Validation Loss: 211024.54037
Epoch 361: Loss: 3.75257, Validation Loss: 211175.44219
Epoch 362: Loss: 3.74697, Validation Loss: 211325.35688
Epoch 363: Loss: 3.74145, Validation Loss: 211474.29255
Epoch 364: Loss: 3.73600, Validation Loss: 211622.25721
Epoch 365: Loss: 3.73063, Validation Loss: 211769.25879
Epoch 366: Loss: 3.72534, Validation Loss: 211915.30515
Epoch 367: Loss: 3.72012, Validation Loss: 212060.40409
Epoch 368: Loss: 3.71497, Validation Loss: 212204.56330
Epoch 369: Loss: 3.70989, Validation Loss: 212347.79044
Epoch 370: Loss: 3.70489, Validation Loss: 212490.09306
Epoch 371: Loss: 3.69996, Validation Loss: 212631.47866
Epoch 372: Loss: 3.69509, Validation Loss: 212771.95466
Epoch 373: Loss: 3.69030, Validation Loss: 212911.52841
Epoch 374: Loss: 3.68557, Validation Loss: 213050.20719
Epoch 375: Loss: 3.68090, Validation Loss: 213187.99822
Epoch 376: Loss: 3.67631, Validation Loss: 213324.90862
Epoch 377: Loss: 3.67177, Validation Loss: 213460.94549
Epoch 378: Loss: 3.66730, Validation Loss: 213596.11583
Epoch 379: Loss: 3.66290, Validation Loss: 213730.42658
Epoch 380: Loss: 3.65855, Validation Loss: 213863.88462
Epoch 381: Loss: 3.65426, Validation Loss: 213996.49676
Epoch 382: Loss: 3.65004, Validation Loss: 214128.26975
Epoch 383: Loss: 3.64587, Validation Loss: 214259.21027
Epoch 384: Loss: 3.64176, Validation Loss: 214389.32495
Epoch 385: Loss: 3.63771, Validation Loss: 214518.62034
Epoch 386: Loss: 3.63372, Validation Loss: 214647.10293
Epoch 387: Loss: 3.62978, Validation Loss: 214774.77918
Epoch 388: Loss: 3.62589, Validation Loss: 214901.65545
Epoch 389: Loss: 3.62206, Validation Loss: 215027.73806
Epoch 390: Loss: 3.61828, Validation Loss: 215153.03327
Epoch 391: Loss: 3.61456, Validation Loss: 215277.54728
Epoch 392: Loss: 3.61089, Validation Loss: 215401.28622
Epoch 393: Loss: 3.60727, Validation Loss: 215524.25620
Epoch 394: Loss: 3.60369, Validation Loss: 215646.46322
Epoch 395: Loss: 3.60017, Validation Loss: 215767.91327
Epoch 396: Loss: 3.59670, Validation Loss: 215888.61227
Epoch 397: Loss: 3.59328, Validation Loss: 216008.56606
Epoch 398: Loss: 3.58990, Validation Loss: 216127.78047
Epoch 399: Loss: 3.58657, Validation Loss: 216246.26125
Epoch 400: Loss: 3.58329, Validation Loss: 216364.01409
Epoch 401: Loss: 3.58005, Validation Loss: 216481.04465
Epoch 402: Loss: 3.57686, Validation Loss: 216597.35852
Epoch 403: Loss: 3.57371, Validation Loss: 216712.96125
Epoch 404: Loss: 3.57060, Validation Loss: 216827.85832
Epoch 405: Loss: 3.56754, Validation Loss: 216942.05520
Epoch 406: Loss: 3.56452, Validation Loss: 217055.55727
Epoch 407: Loss: 3.56154, Validation Loss: 217168.36986
Epoch 408: Loss: 3.55861, Validation Loss: 217280.49829
Epoch 409: Loss: 3.55571, Validation Loss: 217391.94780
Epoch 410: Loss: 3.55286, Validation Loss: 217502.72358
Epoch 411: Loss: 3.55004, Validation Loss: 217612.83080
Epoch 412: Loss: 3.54727, Validation Loss: 217722.27455
Epoch 413: Loss: 3.54453, Validation Loss: 217831.05989
Epoch 414: Loss: 3.54183, Validation Loss: 217939.19184
Epoch 415: Loss: 3.53917, Validation Loss: 218046.67536
Epoch 416: Loss: 3.53654, Validation Loss: 218153.51539
Epoch 417: Loss: 3.53395, Validation Loss: 218259.71679
Epoch 418: Loss: 3.53140, Validation Loss: 218365.28440
Epoch 419: Loss: 3.52888, Validation Loss: 218470.22301
Epoch 420: Loss: 3.52640, Validation Loss: 218574.53737
Epoch 421: Loss: 3.52396, Validation Loss: 218678.23219
Epoch 422: Loss: 3.52154, Validation Loss: 218781.31212
Epoch 423: Loss: 3.51916, Validation Loss: 218883.78179
Epoch 424: Loss: 3.51682, Validation Loss: 218985.64578
Epoch 425: Loss: 3.51450, Validation Loss: 219086.90862
Epoch 426: Loss: 3.51222, Validation Loss: 219187.57482
Epoch 427: Loss: 3.50997, Validation Loss: 219287.64883
Epoch 428: Loss: 3.50775, Validation Loss: 219387.13507
Epoch 429: Loss: 3.50556, Validation Loss: 219486.03792
Epoch 430: Loss: 3.50341, Validation Loss: 219584.36171
Epoch 431: Loss: 3.50128, Validation Loss: 219682.11076
Epoch 432: Loss: 3.49918, Validation Loss: 219779.28932
Epoch 433: Loss: 3.49712, Validation Loss: 219875.90162
Epoch 434: Loss: 3.49508, Validation Loss: 219971.95185
Epoch 435: Loss: 3.49307, Validation Loss: 220067.44415
Epoch 436: Loss: 3.49108, Validation Loss: 220162.38265
Epoch 437: Loss: 3.48913, Validation Loss: 220256.77141
Epoch 438: Loss: 3.48720, Validation Loss: 220350.61449
Epoch 439: Loss: 3.48530, Validation Loss: 220443.91589
Epoch 440: Loss: 3.48343, Validation Loss: 220536.67958
Epoch 441: Loss: 3.48158, Validation Loss: 220628.90950
Epoch 442: Loss: 3.47976, Validation Loss: 220720.60955
Epoch 443: Loss: 3.47797, Validation Loss: 220811.78360
Epoch 444: Loss: 3.47620, Validation Loss: 220902.43548
Epoch 445: Loss: 3.47445, Validation Loss: 220992.56900
Epoch 446: Loss: 3.47273, Validation Loss: 221082.18792
Epoch 447: Loss: 3.47103, Validation Loss: 221171.29597
Epoch 448: Loss: 3.46936, Validation Loss: 221259.89687
Epoch 449: Loss: 3.46771, Validation Loss: 221347.99427
Epoch 450: Loss: 3.46609, Validation Loss: 221435.59183
