Epoch 123: Loss: 446656976015809410.00000, Validation Loss: 5501515643768851500.00000
Epoch 124: Loss: 442076129081565890.00000, Validation Loss: 5487365494284649500.00000
Epoch 125: Loss: 437562049141336640.00000, Validation Loss: 5473374294287316000.00000
Epoch 126: Loss: 433113476733313020.00000, Validation Loss: 5459539495476379600.00000
Epoch 127: Loss: 428729181532395710.00000, Validation Loss: 5445858602300311600.00000
Epoch 128: Loss: 424407961551968510.00000, Validation Loss: 5432329170622823400.00000
Epoch 129: Loss: 420148642370938940.00000, Validation Loss: 5418948806428942300.00000
Epoch 130: Loss: 415950076385140860.00000, Validation Loss: 5405715164569503700.00000
Epoch 131: Loss: 411811142082222660.00000, Validation Loss: 5392625947542689800.00000
Epoch 132: Loss: 407730743339191810.00000, Validation Loss: 5379678904311448600.00000
Epoch 133: Loss: 403707808741806210.00000, Validation Loss: 5366871829155485700.00000
Epoch 134: Loss: 399741290925046400.00000, Validation Loss: 5354202560556722200.00000
Epoch 135: Loss: 395830165933925700.00000, Validation Loss: 5341668980117088300.00000
Epoch 136: Loss: 391973432603925820.00000, Validation Loss: 5329269011507538900.00000
Epoch 137: Loss: 388170111960378050.00000, Validation Loss: 5317000619447317500.00000
Epoch 138: Loss: 384419246636128130.00000, Validation Loss: 5304861808712383500.00000
Epoch 139: Loss: 380719900306857220.00000, Validation Loss: 5292850623172134900.00000
Epoch 140: Loss: 377071157143450430.00000, Validation Loss: 5280965144853415900.00000
Epoch 141: Loss: 373472121280828100.00000, Validation Loss: 5269203493030977500.00000
Epoch 142: Loss: 369921916302679940.00000, Validation Loss: 5257563823343491100.00000
Epoch 143: Loss: 366419684741561860.00000, Validation Loss: 5246044326934331400.00000
Epoch 144: Loss: 362964587593835070.00000, Validation Loss: 5234643229616270300.00000
Epoch 145: Loss: 359555803848947330.00000, Validation Loss: 5223358791059390500.00000
Epoch 146: Loss: 356192530032578620.00000, Validation Loss: 5212189304001394700.00000
Epoch 147: Loss: 352873979763183420.00000, Validation Loss: 5201133093479678000.00000
